"subject_id" "activity" "tBodyAcc-mean-X" "tBodyAcc-mean-Y" "tBodyAcc-mean-Z" "tBodyAcc-std-X" "tBodyAcc-std-Y" "tBodyAcc-std-Z" "tGravityAcc-mean-X" "tGravityAcc-mean-Y" "tGravityAcc-mean-Z" "tGravityAcc-std-X" "tGravityAcc-std-Y" "tGravityAcc-std-Z" "tBodyAccJerk-mean-X" "tBodyAccJerk-mean-Y" "tBodyAccJerk-mean-Z" "tBodyAccJerk-std-X" "tBodyAccJerk-std-Y" "tBodyAccJerk-std-Z" "tBodyGyro-mean-X" "tBodyGyro-mean-Y" "tBodyGyro-mean-Z" "tBodyGyro-std-X" "tBodyGyro-std-Y" "tBodyGyro-std-Z" "tBodyGyroJerk-mean-X" "tBodyGyroJerk-mean-Y" "tBodyGyroJerk-mean-Z" "tBodyGyroJerk-std-X" "tBodyGyroJerk-std-Y" "tBodyGyroJerk-std-Z" "tBodyAccMag-mean" "tBodyAccMag-std" "tGravityAccMag-mean" "tGravityAccMag-std" "tBodyAccJerkMag-mean" "tBodyAccJerkMag-std" "tBodyGyroMag-mean" "tBodyGyroMag-std" "tBodyGyroJerkMag-mean" "tBodyGyroJerkMag-std" "fBodyAcc-mean-X" "fBodyAcc-mean-Y" "fBodyAcc-mean-Z" "fBodyAcc-std-X" "fBodyAcc-std-Y" "fBodyAcc-std-Z" "fBodyAccJerk-mean-X" "fBodyAccJerk-mean-Y" "fBodyAccJerk-mean-Z" "fBodyAccJerk-std-X" "fBodyAccJerk-std-Y" "fBodyAccJerk-std-Z" "fBodyGyro-mean-X" "fBodyGyro-mean-Y" "fBodyGyro-mean-Z" "fBodyGyro-std-X" "fBodyGyro-std-Y" "fBodyGyro-std-Z" "fBodyAccMag-mean" "fBodyAccMag-std" "fBodyBodyAccJerkMag-mean" "fBodyBodyAccJerkMag-std" "fBodyBodyGyroMag-mean" "fBodyBodyGyroMag-std" "fBodyBodyGyroJerkMag-mean" "fBodyBodyGyroJerkMag-std"
"1" "1" "WALKINGDOWNSTAIRS" 0.272154196428571 -0.0153264487792857 -0.0949711475357143 -0.10438892475 -0.0102461790107143 -0.116902427035714 -0.169126441989286 -0.0479372500285714 -0.0850379118928571 0.219356559142857 -0.118653752392857 -0.255478691785714 0.0849060149285714 0.0211046715642857 0.317667795428571 -0.0118017092785714 -0.576880153214286 -0.806778798571429 -0.6392838225 -0.294031832821429 -0.314036101535714 -0.0617844404285714 0.309037828928571 0.380322800714286 0.130461694092857 -0.435962554642857 0.383906207142857 -0.248524806792857 0.173757512539286 -0.1931113395 0.176792448325357 0.0754908760714286 0.0164517555535714 -0.108382932428571 0.1601102312 -0.0504249468717857 -0.188038688821429 -0.445700589642857 -0.251995878642857 0.120806742578571 0.905800576071429 -0.330026645 -0.0941463448928571 -0.957048614642857 -0.945034861071429 -0.906579158214286 -0.958657218214286 -0.946068046785714 -0.909024561071429 0.847500625714286 -0.3332722 -0.0791486965357143 0.911244930357143 -0.315562866785714 -0.114936087321429 0.000898279249285713 0.750982261428571 -0.807268633214286 -0.979377524642857 -0.960632368214286 -0.9496160075 -0.92004367 -0.298356883392857 -1 -1 -0.580835496785714
"2" "1" "WALKINGUPSTAIRS" 0.265130137749216 -0.0185590134726959 -0.108975792340125 -0.584539467328931 -0.39909289878558 -0.536504094358307 -0.616241329068025 -0.421360279191066 -0.523450917869593 -0.451455142330909 -0.285913715768715 -0.489944980134107 0.448530904142947 0.315111491494357 0.601611736476489 -0.486137781180251 -0.838982765862069 -0.874007698643887 -0.825075981567398 -0.675215164793103 -0.591343767456144 -0.519913379423197 -0.0668316845319749 -0.0203316347899687 -0.211584309772602 -0.130652511259561 0.1672806803479 -0.0902130660334483 0.109090091272414 -0.0227027467141066 0.0397349095810972 0.1510599715 -0.0230769267946708 0.0260032433615987 0.0427327838572727 0.0278170184186207 -0.128150389156708 -0.182244602403085 -0.130891183824013 0.202764333717241 0.730741616570533 -0.0608347193134796 0.086953080507837 -0.960106153793103 -0.951687434539185 -0.927506230724138 -0.961035141943574 -0.952674925366771 -0.929298233626959 0.671416819050157 -0.0730815508025078 0.0949994936441066 0.741901290957053 -0.0486329342225705 0.0716194622718809 -0.0400621896371473 0.508156449159875 -0.696252315595298 -0.853162050197492 -0.963378015109718 -0.955437460021944 -0.934809680742947 -0.617899324428527 -0.854930593209091 -0.849356157774608 -0.46734945869373
"3" "2" "WALKING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 -0.639919016384106 -0.445338262615331 -0.594606120850662 -0.416420578870861 -0.275418067361589 -0.555696502761589 0.538656377546358 0.318318460882285 0.562573167028477 -0.529628436711921 -0.840523072980132 -0.879557611655629 -0.847662263278146 -0.722562962036424 -0.590041341054636 -0.626987517440397 -0.127386847614901 -0.0804409115324503 -0.143932743263212 -0.0234071015748344 0.0912011786905298 -0.0949577936180265 0.143357460992219 0.0113430073329801 0.0430372154178808 0.10722903416904 -0.0105897866226821 0.0481081102748344 0.0108255361380795 0.0465211738311258 -0.072892217110596 -0.186637683145695 -0.169618852403311 0.194535818751225 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 -0.964058628278146 -0.961047176456954 -0.94699783089404 0.601271544172185 -0.158538574278146 0.138289525513245 0.674060965529801 -0.130323319807947 0.124046365743775 0.102866914538411 0.42822278089404 -0.651005101721854 -0.798176141781457 -0.966865982483444 -0.964185348145695 -0.952294350331126 -0.525358962092391 -0.961231091907285 -0.520609917642384 -0.476265582149007
"4" "3" "WALKINGDOWNSTAIRS" 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.65376509042522 -0.488785606255718 -0.649033311199414 -0.4443462411261 -0.302140261428739 -0.596355164193548 0.531481667504985 0.358242863725367 0.630837525601173 -0.562589844666276 -0.85568299601173 -0.904452012463343 -0.901595177214076 -0.71944585058651 -0.604739504055719 -0.654924374143695 -0.0680340080715543 -0.0593208162140762 -0.11482503892522 -0.142724642072434 0.157514127422581 -0.0902556417754545 0.131896812657185 -0.0879713878797361 0.105369476678006 0.0913271923170381 -0.00852608200967742 -0.0740401061639296 0.0836290665301759 0.0439367115693842 -0.139945596200968 -0.193681127878446 -0.2262186405 0.156544326025806 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 -0.967122556070381 -0.945588863665689 -0.928644746334311 0.64650524568915 -0.036980483313783 0.0554612180214076 0.721778084809384 -0.016086882140176 0.0319191401343109 0.021561393374956 0.470926521057185 -0.625185177360704 -0.877382054105572 -0.968925172697947 -0.949312054046921 -0.934206083841642 -0.620120978782111 -0.847872156865103 -0.781166198486803 -0.493810200233138
"5" "4" "WALKING" 0.274183111498423 -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.509929384011325 -0.709492735962145 -0.635360700063407 -0.526101045697445 -0.703257427476341 -0.459450131033439 -0.27823594065552 -0.600998371952681 0.515024956477287 0.395015797552587 0.711234947066246 -0.578957880005994 -0.840810465018927 -0.917417242365931 -0.929176947129338 -0.689997581707256 -0.640857009545741 -0.713204519012618 -0.00418693194416404 -0.0487525091955836 -0.194791147813322 -0.132558727090852 0.169479898167823 -0.141780531941956 0.138864995587192 -0.0494223425205047 0.113311021834479 0.0376258641533123 0.0431115455275079 -0.00716880287681388 0.0449706776059937 -0.0434618190163091 -0.0395431975239748 -0.101111517690726 -0.089432559637224 0.0536488726544164 0.706593043123028 0.112591195496986 0.164130896618297 -0.962636979274448 -0.941416800167192 -0.941403426072555 -0.963924663123028 -0.942243368419558 -0.942726913769716 0.648488097962145 0.0974695644116719 0.167223772962145 0.720207393312303 0.118545742021735 0.151874410072555 -0.36002712889306 0.524694760063091 -0.66157235170347 -0.927201482208202 -0.967661044785489 -0.945716834258675 -0.947140747381704 -0.816338875530915 -0.854582180823344 -0.333854540404732 -0.469645888250473
"6" "5" "WALKINGDOWNSTAIRS" 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.537623406579801 -0.424937693851325 -0.635704667196026 -0.376145829957616 -0.207047536694503 -0.589110798350993 0.45007940642649 0.336415672215563 0.62629625692053 -0.47788460870596 -0.751051251327152 -0.873786805264901 -0.901031949735099 -0.593892349048675 -0.575178299996689 -0.631187014975132 -0.00858310340976821 -0.0468653791225166 -0.112474167952848 -0.192381729093874 0.177541515263576 -0.0533248742139073 0.0865131951649669 -0.0580731491602649 0.0864457894826821 0.167500221396391 -0.0452953250949702 -0.0770826930847682 0.0967244864009934 0.0506528939152649 -0.209385103703974 -0.104839780834437 -0.139099290978245 0.183328842972351 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 -0.965895466821192 -0.940653987218543 -0.943781204768212 0.639236726324503 0.0985090502677152 0.0957463967652318 0.712006124205298 0.119259080236563 0.0797859964731788 -0.499615238692053 0.533345902450331 -0.638779938609272 -0.959185352781457 -0.969028552549669 -0.942997329933775 -0.949377206258278 -0.82456298785596 -0.817221006440397 -0.561294734446689 -0.470476162371192
"7" "6" "WALKINGDOWNSTAIRS" 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 -0.540118251305108 -0.395514397426154 -0.674839016569231 -0.344451076048923 -0.212445262262585 -0.576883291249231 0.427462183598769 0.282534472614154 0.613622803856 -0.480941055469846 -0.738697140396308 -0.854093671384615 -0.908105173538462 -0.616390698625846 -0.566693975347385 -0.688043361904615 -0.0707470696049231 -0.0189952273910769 -0.152465731317538 -0.168102093854154 0.177619909542338 -0.0301235075574462 0.0836559828899385 -0.0900331758864 0.0874170197966154 0.229978738453385 -0.135779333180308 0.0219830392809231 0.0532336704303077 0.0858980525064308 -0.176367270726462 -0.126558502648615 -0.246513669849846 0.112372982983877 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692 -0.959667484707692 -0.951859228861539 -0.938935432646154 0.631756335876923 0.00173659218307692 0.0531021496005169 0.701437287692308 0.0271521848569231 0.0351163873323662 -0.336792015408615 0.510531183323077 -0.597126175753846 -0.962766420769231 -0.961814964123077 -0.954778458153846 -0.943235337384615 -0.737285565840308 -0.918893231647077 -0.573168587756923 -0.404159864898462
"8" "7" "WALKINGDOWNSTAIRS" 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.602693080815584 -0.570104252656169 -0.463887150084221 -0.4229271579 -0.348846664473052 -0.55470264698052 0.553352931266234 0.395843356140227 0.44594118732987 -0.50603718741211 -0.823076146071429 -0.926625718928571 -0.755711185061688 -0.67111344946526 -0.70179898025974 -0.524368312115042 -0.0872278932733766 -0.0760876246292208 -0.00951123045974026 -0.188167327884091 0.132835141975877 -0.0574241475924351 0.166010880625844 -0.0654467113491234 0.0524158594487013 0.150397422401136 -0.047606197925 -0.0964835395146104 0.100314826760714 0.00914211636272727 -0.065568199199026 -0.102072422787987 -0.329067720718831 0.282343572058539 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.955312554090909 -0.923304724090909 -0.957590645532468 -0.956020659545455 -0.92460291038961 0.624080358957792 -0.054891862738961 0.0432944083109416 0.692334368993507 -0.027371828084026 0.0182738758205844 -0.211339534241234 0.493419396363636 -0.901388614698052 -0.620267166957792 -0.960874723308442 -0.95914598801948 -0.929479783214286 -0.698070976636364 -0.859744592302922 -0.703084700048701 -0.546004001425325
"9" "8" "SITTING" 0.265556589446927 -0.0203467625075978 -0.105083983984358 -0.502699525770391 -0.242994007530726 -0.363216848830168 -0.533037742285475 -0.265419264346369 -0.363965202165922 -0.370229575173184 -0.128256341285475 -0.429016967951955 0.401706647735754 0.205178763856983 0.434857886100559 -0.355976907118436 -0.776100173184358 -0.803102528659218 -0.682561121988827 -0.587266795182123 -0.428980410893855 -0.413581627511732 0.0343866417597765 -0.0749684409363129 -0.0476025543659218 -0.146590904684916 0.128956285219553 -0.0679515729776536 0.109238769427933 -0.0315402671634637 0.023638903365419 0.154017212559777 -0.0118365578426145 -0.00606541974256983 0.0556881106078212 0.00602701376592179 -0.0478290070427374 -0.0137163783980447 -0.259211101260335 0.102970376611732 0.668092950782123 -0.0520150292813408 0.0331423877814525 -0.942988336793296 -0.944310386480447 -0.90610826224581 -0.943786645083799 -0.945872821843575 -0.907659074083799 0.616881484553073 -0.060611142947486 0.0445251273899441 0.676550937374302 -0.0405971697792179 0.0111516727905028 -0.0690392397077095 0.444380662011173 -0.899240033128492 -0.58556072698324 -0.946791521396648 -0.951252806201117 -0.916130999664804 -0.494715941364693 -0.828866461441341 -0.754643960290503 -0.572455262011173
"10" "8" "WALKINGDOWNSTAIRS" 0.279888894852941 -0.014403708822451 -0.109837952176471 -0.723806131323529 -0.536087268205882 -0.738588327088235 -0.740661551627451 -0.566913943323529 -0.738223907353922 -0.613085888843137 -0.320746492692059 -0.619768921 0.594490907578431 0.371823846686274 0.69323785854902 -0.66154653909902 -0.88603476745098 -0.885291307843137 -0.911112724901961 -0.76793794395098 -0.693167562686275 -0.750350055852941 -0.248387413647059 -0.240300735039216 -0.312431805135294 0.00908999401176471 0.0428421842901961 -0.0707391835745098 0.194823209894118 0.0713822165539216 -0.0496379260345098 0.210155311183333 -0.0284876832820588 0.134128129639216 -0.0514472828852941 0.115350007052353 -0.138358276463725 -0.156044339817647 -0.128379588521569 0.0190122835107843 0.61135636372549 0.174812965882353 0.172297590376696 -0.974031479117647 -0.955704837284314 -0.953141054215686 -0.974401609509804 -0.956177911540196 -0.954561608137255 0.547110426470588 0.155039069990196 0.17227441572549 0.629410089901961 0.185238060666667 0.161849758070588 -0.0981774599901961 0.339194419019608 -0.529712625980392 -0.862518041176471 -0.975355754607843 -0.959279827068627 -0.95858320745098 -0.782470647764706 -0.832268180176471 -0.673066703012647 -0.508604937352941
